Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,83.33333333333333,-2970.7642530490607,14.422360248447205,24,21.221996544446387,0.9789863868505659,212,57,0.00998645168764533,161
2,83.33333333333333,-1962.242235985472,13.682926829268293,23,16.34405376623263,1.0359298556296366,253,25,0.00998645168764533,325
3,83.33333333333333,-1164.6607679523595,13.615853658536585,22,13.70276798133466,1.0541554817689016,262,28,0.00998645168764533,489
4,83.33333333333333,-2022.2072593426103,13.512345679012345,25,13.672533911963074,1.0770434214839932,244,42,0.00998645168764533,651
5,83.33333333333333,-1971.5912298464696,14.777777777777779,27,14.605139968871725,1.0282048095550915,240,43,0.00998645168764533,813
6,83.33333333333333,-1429.171081665849,17.84472049689441,32,19.92184152461753,0.9436082953006548,263,57,0.00998645168764533,974
7,83.33333333333333,-2065.681859227626,16.61111111111111,29,17.440868749283887,0.9847757465234422,243,49,0.00998645168764533,1136
8,83.33333333333333,-1319.9283479018795,17.58125,30,20.243097347993018,0.9364564331209472,267,67,0.00998645168764533,1296
9,83.33333333333333,-916.6566988992412,13.433734939759036,22,11.419844675320315,1.065294906173488,257,7,0.00998645168764533,1462
10,83.33333333333333,-1243.3835279245159,13.581818181818182,24,12.082507213332613,1.0633650594219397,250,16,0.00998645168764533,1627
11,83.33333333333333,-1102.1492311077325,14.148148148148149,24,12.955765677857437,1.0576810255784888,255,41,0.00998645168764533,1789
12,83.33333333333333,-923.6068693883565,13.83435582822086,24,12.299922891947707,1.0706325531245853,265,37,0.00998645168764533,1952
13,83.33333333333333,-560.0222463150369,15.819875776397515,27,14.952913514327147,1.0101746954671917,273,51,0.00998645168764533,2113
14,83.33333333333333,-809.6543150330557,14.888198757763975,24,14.74606882878864,1.0332869801037097,251,59,0.00998645168764533,2274
15,83.33333333333333,-659.0147462223915,15.419753086419753,27,14.541356356768752,1.0191392367514962,271,45,0.00998645168764533,2436
16,83.33333333333333,-717.3615417039589,16.41614906832298,28,15.85607148165192,0.9878098542857793,255,57,0.00998645168764533,2597
17,83.33333333333333,-448.4287645200716,18.043478260869566,28,18.62284445101701,0.9422947043218729,249,58,0.00998645168764533,2758
18,83.33333333333333,-301.4397970448561,17.956521739130434,28,17.41869634040307,0.9499999683796649,279,59,0.00998645168764533,2919
19,83.33333333333333,-355.75626103621045,18.475,29,18.213331348018112,0.9340703348424746,257,60,0.00998645168764533,3079
20,83.33333333333333,-603.0568041335032,17.62111801242236,29,16.916952595717557,0.9564295946040162,281,55,0.00998645168764533,3240
