Episode,Duration_Min,Total_Reward,Avg_Queue,Max_Queue,Avg_Waiting_Time,Avg_Speed,Throughput,Phase_Switches,Epsilon,Q_Table_Size
1,0.2283431847890218,-4218.924938824588,30.851612903225806,51,22.10668342173348,0.8437141306134278,186,109,0.4598090507939749,155
2,0.2564226031303406,-3151.645607540031,31.2625,50,16.148794256359544,0.8556048694674331,213,55,0.20619134658263935,315
3,0.24023134708404542,-2205.4579691828985,27.29299363057325,40,13.160989710184854,0.9354601140543056,202,83,0.09386293109673778,472
4,0.22098337809244792,-1251.231103493902,23.857142857142858,38,10.986563396876168,1.0080638810461056,195,118,0.043375904776212296,626
5,0.24513641198476155,-1667.6157012869687,28.675324675324674,46,12.289674923639772,0.9189101001601048,190,110,0.020044857891939702,780
6,0.2305704712867737,-1440.1506139374576,24.15483870967742,38,10.750140072359248,0.9994300170200829,230,108,0.00998645168764533,935
7,0.22629061539967854,-1210.2602876797416,22.818181818181817,36,10.07597288563655,1.0339318793726062,213,119,0.00998645168764533,1089
8,0.22200958728790282,-1111.2956666490131,22.758169934640524,36,9.86645461145659,1.0342421301653728,211,121,0.00998645168764533,1242
9,0.219049866994222,-1057.9239213314559,22.686274509803923,36,9.598676854867191,1.0381212097574932,194,130,0.00998645168764533,1395
10,0.21911023457845052,-768.4319691219764,22.254901960784313,34,9.593531078884457,1.045338435916543,203,130,0.00998645168764533,1548
11,0.22347994645436606,-833.8612643286835,22.18954248366013,35,9.463958934667676,1.0454438737281548,196,130,0.00998645168764533,1701
12,0.21918402512868246,-614.7498470002108,21.17763157894737,34,8.90748885216285,1.0747918222055621,184,135,0.00998645168764533,1853
13,0.22417757113774617,-717.5585639468893,22.986842105263158,35,9.667785480537264,1.0295115452140606,199,132,0.00998645168764533,2005
14,0.2205860416094462,-862.9037848308826,22.209150326797385,35,9.465985400699779,1.0450821838765347,197,130,0.00998645168764533,2158
15,0.2249580184618632,-742.7258255980694,23.33112582781457,38,9.390259524049387,1.0274351112967075,184,150,0.00998645168764533,2309
16,0.22322868506113688,-717.697606235718,23.278145695364238,33,9.395661143530601,1.0301356062492015,212,146,0.00998645168764533,2460
17,0.22486353715260823,-663.645248026547,22.960264900662253,34,9.320272914750966,1.0350862141448198,196,150,0.00998645168764533,2611
18,0.23164506753285727,-365.0052453017947,22.56953642384106,35,9.039123640945075,1.0455583960566073,200,149,0.00998645168764533,2762
19,51.60923486948013,-720.8367536340163,23.589403973509935,36,9.497285656355645,1.0215055512267803,208,146,0.00998645168764533,2913
20,0.28666780789693197,-1623.061025156812,26.72258064516129,46,10.6575517047239,0.9728058180222914,184,108,0.00998645168764533,3068
21,0.2796351710955302,-1331.7749367190622,27.55128205128205,49,11.446074970422734,0.9549797564357028,223,92,0.00998645168764533,3224
22,0.2925839503606161,-446.60418803971135,24.241830065359476,38,9.972173819508615,1.008993069394934,235,125,0.00998645168764533,3377
23,0.25389854510625204,-509.6996231383621,23.072847682119207,35,9.21349060497398,1.037909078431865,209,140,0.00998645168764533,3528
24,0.31750649213790894,-786.2771866391098,24.98709677419355,42,10.25099468985171,1.0006178039301923,201,108,0.00998645168764533,3683
25,0.26789509455362953,-533.586326623662,23.907894736842106,39,9.689702628823008,1.0133604810945782,194,134,0.00998645168764533,3835
26,0.2854325691858927,-959.0058746796121,24.863636363636363,40,10.159807277280036,1.000541955052765,196,110,0.00998645168764533,3989
27,0.3088558197021484,-543.4388491685385,26.057692307692307,42,10.765466555951237,0.9741247732543835,190,99,0.00998645168764533,4145
28,0.29112242062886556,-1017.4343329198017,23.07236842105263,35,9.262708771498707,1.0391947517472515,225,137,0.00998645168764533,4297
29,0.2821866750717163,-861.1237757617065,22.735099337748345,33,9.073661862141051,1.0441432647900466,213,147,0.00998645168764533,4448
30,0.29040239651997884,-770.4193453588282,24.43421052631579,39,10.101799388276495,1.011849012626755,214,132,0.00998645168764533,4600
31,0.28371299902598063,-940.5741625723482,23.47019867549669,36,9.700028576691727,1.0229305656357766,206,145,0.00998645168764533,4751
32,0.28283706108729045,-786.1344089482003,22.907894736842106,33,9.510630410280207,1.031748483313433,206,137,0.00998645168764533,4903
33,0.2515255729357401,-862.6608441284861,22.728476821192054,35,9.374708380704634,1.0407459242781743,203,142,0.00998645168764533,5054
34,0.2596892356872559,-676.8995933815033,23.026490066225165,34,9.221808311823619,1.0352069558890946,204,144,0.00998645168764533,5205
35,0.2832729657491048,-1096.8621329510318,26.477124183006534,51,10.538824298696781,0.9758155228147264,221,120,0.00998645168764533,5358
36,0.25191730658213296,-909.7707587072954,22.927152317880793,37,9.211312035671535,1.0386916855568014,221,145,0.00998645168764533,5509
37,0.25552789370218915,-1057.0667684756156,23.16,34,9.254285371112292,1.0338704867131208,204,150,0.00998645168764533,5659
38,0.2624513149261475,-905.1825171134666,23.29139072847682,34,9.500011530330337,1.030179083261946,210,144,0.00998645168764533,5810
39,0.2490004261334737,-638.2150922808534,22.62251655629139,34,9.415384500081343,1.0415687813394654,188,142,0.00998645168764533,5961
40,0.24835381507873536,-422.20795780112394,22.192052980132452,34,9.001165459790437,1.0550805493379574,223,142,0.00998645168764533,6112
41,0.2669599294662476,-466.1445043557275,23.00662251655629,33,9.327970786335896,1.031007751877043,191,148,0.00998645168764533,6263
42,0.24975179036458334,-390.9781470225486,22.158940397350992,33,9.013284623361201,1.054805141179966,204,150,0.00998645168764533,6414
43,0.25752807458241783,-585.8708003579177,22.549668874172184,34,9.170105799029383,1.0443661864880789,218,145,0.00998645168764533,6565
44,0.2492771546045939,-412.2734007303797,22.43046357615894,34,9.097918642948901,1.046706143346753,196,150,0.00998645168764533,6716
45,0.24452277819315593,-740.9770190680122,21.721854304635762,36,9.026545505686109,1.0636544551009954,195,145,0.00998645168764533,6867
46,0.25711555083592735,-361.6109803992813,22.14,33,8.887080105745401,1.05653903188047,206,150,0.00998645168764533,7017
47,0.260614009698232,-388.627158316025,22.08,33,8.877943131198391,1.057339881845884,210,150,0.00998645168764533,7167
48,0.26830173333485924,-306.67533001833374,22.43708609271523,34,8.910143472021508,1.04942287455155,220,150,0.00998645168764533,7318
49,0.24184691508611042,-486.5728253800783,22.066225165562916,33,9.11351862105627,1.0537594107732666,197,149,0.00998645168764533,7469
