Episode,Total_Reward,Avg_Queue_Length,Max_Queue_Length,Total_Waiting_Time,Avg_Waiting_Time,Phase_Switches,Throughput,Epsilon,Q_Table_Size
1,-5649.228255771118,32.495114006514655,49,3416.0,1283.6612377850163,107,-43,0.21462770857094118,248
2,-4118.287646585303,22.952095808383234,37,1111.0,875.5389221556886,53,-26,0.04023414326483323,527
3,-4052.254297360317,23.036363636363635,38,445.0,895.7848484848485,59,-23,0.00998645168764533,769
4,-3859.580642234676,22.878125,35,716.0,853.775,80,-26,0.00998645168764533,963
5,-4154.989946734393,23.88364779874214,37,1985.0,904.3176100628931,83,-25,0.00998645168764533,1145
6,-4247.456485386321,24.789137380191693,40,1790.0,1024.5111821086261,93,-28,0.00998645168764533,1323
7,-3882.7415954377084,23.477124183006534,38,1036.0,865.9411764705883,107,-23,0.00998645168764533,1472
8,-4377.657925811097,25.72077922077922,39,2002.0,1027.6883116883116,103,-30,0.00998645168764533,1615
9,-3946.3084092887375,22.598130841121495,37,1869.0,829.9283489096573,79,-26,0.00998645168764533,1795
10,-3918.679876198255,23.78877887788779,40,1171.0,895.4059405940594,115,-25,0.00998645168764533,1909
11,-3662.769224318938,22.28301886792453,37,158.0,786.2169811320755,84,-22,0.00998645168764533,2098
12,-3849.993701967086,23.696369636963695,37,1050.0,843.2805280528053,114,-26,0.00998645168764533,2217
13,-3637.786265197992,22.640522875816995,38,416.0,798.3039215686274,108,-24,0.00998645168764533,2369
14,-3597.93700852844,22.396103896103895,39,269.0,748.25,104,-22,0.00998645168764533,2518
15,-4160.237479567421,25.967637540453076,40,342.0,919.789644012945,101,-26,0.00998645168764533,2688
16,-3944.761601462561,24.806896551724137,39,1615.0,866.2655172413793,139,-25,0.00998645168764533,2787
17,-3921.128755128601,24.8277027027027,41,752.0,877.4459459459459,127,-24,0.00998645168764533,2884
18,-3899.6121549411064,24.367549668874172,40,749.0,842.7152317880794,116,-23,0.00998645168764533,3008
19,-4114.638473816946,24.730897009966778,43,2303.0,883.0066445182724,118,-23,0.00998645168764533,3128
20,-3947.823819080896,24.83219178082192,38,1421.0,862.5308219178082,135,-26,0.00998645168764533,3216
21,-4021.70750540741,25.170648464163822,38,1583.0,916.2696245733788,133,-25,0.00998645168764533,3293
22,-4076.4808390329795,26.06711409395973,42,288.0,917.2885906040268,124,-27,0.00998645168764533,3406
23,-3846.961516990627,25.53146853146853,40,239.0,841.548951048951,148,-27,0.00998645168764533,3480
24,-4080.61813534268,25.799342105263158,39,133.0,870.9671052631579,112,-24,0.00998645168764533,3609
25,-3929.1994102573376,25.164429530201343,43,242.0,860.5436241610738,124,-26,0.00998645168764533,3729
26,-4128.112349489014,26.286689419795223,41,1088.0,947.1877133105802,135,-26,0.00998645168764533,3820
27,-3730.502337033019,23.99322033898305,38,737.0,764.9322033898305,129,-29,0.00998645168764533,3926
28,-4357.5662592913595,27.05442176870748,44,2062.0,959.3639455782313,131,-32,0.00998645168764533,4024
29,-3699.09823187903,23.21283783783784,39,1506.0,723.4831081081081,127,-29,0.00998645168764533,4133
30,-3770.807461625,24.36394557823129,40,403.0,803.6530612244898,132,-26,0.00998645168764533,4216
31,-3738.3146723735404,22.877076411960132,39,1665.0,800.109634551495,118,-27,0.00998645168764533,4311
32,-4265.533353814868,27.640677966101695,45,350.0,1014.2847457627119,129,-27,0.00998645168764533,4413
33,-3522.171656110464,21.97029702970297,37,917.0,700.5379537953795,115,-29,0.00998645168764533,4526
34,-3932.1994709018954,23.803986710963454,38,2426.0,766.9302325581396,119,-32,0.00998645168764533,4640
35,-3745.444063776802,24.77112676056338,40,449.0,817.443661971831,153,-27,0.00998645168764533,4694
36,-3889.4792108903594,23.82622950819672,38,1496.0,770.6590163934426,110,-29,0.00998645168764533,4828
37,-3430.7007354040848,22.486486486486488,35,50.0,695.9290540540541,128,-20,0.00998645168764533,4932
38,-3904.2837732006265,24.495016611295682,42,1170.0,863.4518272425249,118,-30,0.00998645168764533,5061
39,-3428.5107516321414,22.80701754385965,36,580.0,658.8912280701754,149,-28,0.00998645168764533,5122
40,-3807.827588041902,25.202797202797203,44,344.0,855.4965034965035,149,-28,0.00998645168764533,5176
41,-3961.1753432148457,25.571929824561405,39,1448.0,850.3824561403509,150,-32,0.00998645168764533,5227
42,-3528.6480219261557,23.617857142857144,39,802.0,702.3428571428572,161,-26,0.00998645168764533,5279
43,-3936.7590622936573,25.565371024734983,42,1634.0,841.7526501766785,155,-28,0.00998645168764533,5331
44,-3763.503622141142,24.657439446366784,42,856.0,770.6574394463668,142,-34,0.00998645168764533,5428
45,-3691.971425473202,24.97482014388489,38,581.0,763.0071942446043,164,-24,0.00998645168764533,5466
46,-3456.770948031806,22.209621993127147,36,1152.0,682.2542955326461,138,-25,0.00998645168764533,5540
47,-3684.6799405063425,23.713815789473685,39,260.0,749.5131578947369,112,-24,0.00998645168764533,5670
48,-3489.117116109592,23.024390243902438,36,825.0,664.219512195122,147,-27,0.00998645168764533,5744
49,-3789.8252410173673,23.427083333333332,39,2600.0,788.1284722222222,143,-30,0.00998645168764533,5802
50,-3599.598307513955,24.523297491039425,39,393.0,703.8673835125448,161,-25,0.00998645168764533,5840
