Episode,Duration_Minutes,Total_Reward,Avg_Queue_Length,Max_Queue_Length,Total_Waiting_Time,Avg_Waiting_Time,Phase_Switches,Throughput,Avg_Speed,Epsilon,Q_Table_Size,Vehicles_Processed,Efficiency_Score
1,0.3399500648180644,-9794.144989560102,6.694230769230769,24,262966.0,26.297528650209685,127,0,0.49899007688707747,0.8780668837668493,259,0,0.0
2,0.3488465587298075,-9776.102650431,6.110294117647059,24,244802.0,25.174489379235837,119,0,0.5135693643468983,0.7663881439990762,520,0,0.0
3,0.3859268029530843,-9426.221951546217,6.131481481481481,24,221093.0,23.412433874671695,74,0,0.5072989473804841,0.6695829096006238,785,0,0.0
4,0.4171242078145345,-9421.29224493197,6.359090909090909,24,233697.0,23.395015730980386,78,0,0.5018008484368206,0.5835444395139273,1046,0,0.0
5,0.4399210015932719,-10475.850964168085,6.8269927536231885,25,247759.0,23.202751596414533,80,0,0.47785117790579973,0.5083072550853868,1312,0,0.0
6,0.4104808727900187,-10685.62335028576,6.545708955223881,24,226960.0,22.161715901219175,68,0,0.5081087580249368,0.44454557757106034,1573,0,0.0
7,0.4122915188471476,-9806.999061123266,6.129213483146067,24,202416.0,21.368187818693755,63,0,0.5292086667283206,0.38897660494723935,1824,0,0.0
8,0.41281644503275555,-9595.671148506975,5.976618705035971,24,197540.0,20.483760796838876,53,0,0.5199683331830134,0.33848657750427275,2082,0,0.0
9,0.41191121737162273,-9480.47762635635,6.163357400722021,24,208046.0,21.21660645817346,42,0,0.5062771290683798,0.2946976165965032,2343,0,0.0
10,0.4349845329920451,-10435.91555726473,6.400186567164179,24,202619.0,20.09888811295908,43,0,0.5213038245979722,0.25773097052628235,2601,0,0.0
11,0.3960374434789022,-9379.296322752725,5.7328519855595665,25,195431.0,21.37374088976594,54,0,0.539857297196692,0.2243891125527428,2857,0,0.0
12,0.4105324943860372,-10377.967638144506,6.422574626865671,24,207193.0,20.564075391770086,40,0,0.5169521049012067,0.19624191203735675,3110,0,0.0
13,0.40278868277867635,-8852.968048535675,5.605263157894737,24,184758.0,19.769033070384353,30,0,0.533398743274354,0.17017247922512546,3380,0,0.0
14,0.3954616665840149,-9425.312660210537,5.634341637010676,24,183771.0,19.62236560960419,29,0,0.541405408591513,0.1478616988536837,3648,0,0.0
15,0.3929426113764445,-9289.806838772522,5.768382352941177,24,176884.0,18.98015700698849,28,0,0.5510845861211823,0.12905560504331048,3897,0,0.0
16,0.405428942044576,-9172.208543672246,5.479464285714286,24,173851.0,18.92509630914154,30,0,0.5566986256767242,0.11219162498374766,4154,0,0.0
17,0.37453344265619914,-9219.448766527736,5.55,24,170812.0,18.427080839768234,14,0,0.5558921113452618,0.09753129832888481,4418,0,0.0
18,0.3990164597829183,-9406.82190919693,5.6465827338129495,24,177484.0,19.20691413940461,24,0,0.5466534817818802,0.0848715191376879,4668,0,0.0
19,0.39203181664148967,-8800.100561129973,5.410714285714286,24,164819.0,18.113095159776346,17,0,0.5667083161982082,0.07378117086585217,4921,0,0.0
20,0.38876867294311523,-9185.559403142737,5.755395683453237,24,177827.0,18.792302131768484,20,0,0.5448330457021452,0.06420421098083187,5173,0,0.0
21,0.38435801267623904,-9108.360005577191,5.587591240875913,24,165553.0,18.009976449078927,16,0,0.5598116945315696,0.05598224230356364,5430,0,0.0
22,0.4004231254259745,-9533.66938369306,5.921875,24,175482.0,18.407715804065433,16,0,0.5393966241125522,0.04999916370086185,5680,0,0.0
23,0.3966686169306437,-8835.15231142306,5.474014336917563,24,169772.0,18.740205383566646,18,0,0.5584182694530062,0.04999916370086185,5930,0,0.0
24,0.38585309584935507,-9093.870226811654,5.697463768115942,24,172404.0,18.447905882085433,17,0,0.5463299199118191,0.04999916370086185,6180,0,0.0
25,0.34771639506022134,-9465.839361235956,5.762773722627737,24,171799.0,18.617367704415603,22,0,0.5441436855931363,0.04999916370086185,6420,0,0.0
26,0.2975185751914978,-8885.95662834095,5.578066914498141,24,164226.0,17.98903765896956,23,0,0.5677198514071935,0.04999916370086185,6875,0,0.0
